scene,patch,category,truth_present,truth_member,prediction_present,prediction_member,prediction_error_px,raw_first_correct_rank,filtered_first_correct_rank,raw_prediction_rank,filtered_prediction_rank,raw_top_error_px,filtered_top_error_px,raw_top_score,filtered_top_score,border_distance_px,patch_peak,local_background,local_noise,peak_over_noise,star_width_px
scorpius,patch_22,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.7205,0.9342,519,103.0,59.0,26.687,1.649,2.706
scorpius,patch_23,location_selection_error,1,1,1,1,261.22,1,1,4,2,2.0,2.0,0.8595,0.9635,953,255.0,163.0,17.791,5.171,2.86
scorpius,patch_24,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.8058,0.9477,230,255.0,185.5,38.548,1.803,2.932
scorpius,patch_25,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.7452,0.9396,514,208.0,122.5,18.532,4.614,2.573
scorpius,patch_26,correct,1,0,1,0,0.0,0,1,0,1,1644.26,0.0,0.471,0.8373,1080,87.0,14.0,8.896,8.206,2.683
scorpius,patch_27,location_selection_error,1,0,1,1,800.02,1,1,8,5,0.0,0.0,0.8928,0.958,951,255.0,129.0,47.443,2.656,2.91
scorpius,patch_28,correct_absent,0,,0,,,0,0,0,0,,,0.5847,0.7418,,100.0,10.0,10.378,8.672,2.697
scorpius,patch_29,correct_absent,0,,0,,,0,0,0,0,,,0.6788,0.7885,,253.0,12.0,14.826,16.255,2.506
scorpius,patch_30,correct_absent,0,,0,,,0,0,0,0,,,0.608,0.752,,255.0,254.0,1.483,0.674,2.948
scorpius,patch_31,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.8094,0.9311,551,189.0,121.0,40.03,1.699,2.818
scorpius,patch_32,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.8365,0.9423,745,78.0,5.0,7.413,9.848,2.764
scorpius,patch_33,correct_absent,0,,0,,,0,0,0,0,,,0.7232,0.8549,,200.0,7.0,10.378,18.597,2.289
scorpius,patch_34,correct_absent,0,,0,,,0,0,0,0,,,0.7922,0.9026,,171.0,3.0,2.965,56.657,1.798
scorpius,patch_35,correct,1,0,1,0,2.83,2,1,2,1,730.66,2.83,0.9001,0.969,670,255.0,145.0,53.374,2.061,2.865
scorpius,patch_36,location_selection_error,1,1,1,1,2012.3,2,2,16,9,1169.11,1169.11,0.8876,0.9666,1004,255.0,184.0,14.826,4.789,2.964
scorpius,patch_37,correct_absent,0,,0,,,0,0,0,0,,,0.4956,0.6829,,197.0,129.0,25.204,2.698,2.571
scorpius,patch_38,correct,1,1,1,1,2.0,1,1,1,1,2.0,2.0,0.8321,0.9435,584,255.0,210.0,32.617,1.38,2.912
scorpius,patch_39,correct,1,1,1,1,2.0,1,1,1,1,2.0,2.0,0.9264,0.9772,257,255.0,88.5,34.841,4.779,2.869
scorpius,patch_40,correct_absent,0,,0,,,0,0,0,0,,,0.3976,0.6713,,249.0,193.0,21.498,2.605,2.614
scorpius,patch_41,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.8511,0.9609,286,255.0,175.5,24.463,3.25,2.908
taurus,patch_01,correct_absent,0,,0,,,0,0,0,0,,,0.79,0.8898,,197.0,13.0,10.378,17.729,2.488
taurus,patch_02,correct_absent,0,,0,,,0,0,0,0,,,0.4038,0.5968,,255.0,250.0,7.413,0.674,2.752
taurus,patch_03,correct_absent,0,,0,,,0,0,0,0,,,0.7044,0.7827,,234.0,179.5,37.806,1.442,2.693
taurus,patch_04,correct_absent,0,,0,,,0,0,0,0,,,0.7228,0.8259,,162.0,19.0,13.343,10.717,2.466
taurus,patch_05,correct,1,1,1,1,0.0,1,1,1,1,0.0,0.0,0.8899,0.9716,1335,239.0,92.0,19.274,7.627,2.667
taurus,patch_06,correct,1,1,1,1,0.0,1,1,1,1,0.0,0.0,0.8304,0.9494,938,255.0,180.5,22.98,3.242,2.799
taurus,patch_07,correct_absent,0,,0,,,0,0,0,0,,,0.8031,0.8981,,223.0,18.0,17.791,11.523,2.632
taurus,patch_08,location_selection_error,1,1,1,1,897.9,5,6,16,0,1662.21,1561.13,0.9373,0.9812,662,255.0,95.0,19.274,8.301,2.819
taurus,patch_09,correct_absent,0,,0,,,0,0,0,0,,,0.658,0.8151,,231.0,49.0,50.408,3.611,2.581
taurus,patch_10,correct_absent,0,,0,,,0,0,0,0,,,0.6907,0.8393,,255.0,122.0,23.722,5.607,2.506
taurus,patch_11,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.871,0.9619,730,255.0,139.0,30.393,3.817,2.938
taurus,patch_12,location_selection_error,1,0,1,1,758.85,1,2,3,1,2.0,758.85,0.9228,0.9746,882,255.0,218.0,34.1,1.085,2.975
taurus,patch_13,correct_absent,0,,0,,,0,0,0,0,,,0.5971,0.6892,,233.0,113.5,115.643,1.033,2.751
taurus,patch_14,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.8711,0.9562,745,255.0,170.0,43.737,1.943,2.921
taurus,patch_15,correct_absent,0,,0,,,0,0,0,0,,,0.5927,0.7535,,216.0,174.0,12.602,3.333,2.752
taurus,patch_16,correct_absent,0,,0,,,0,0,0,0,,,0.6708,0.8597,,178.0,69.0,11.861,9.19,2.554
taurus,patch_17,correct,1,0,1,0,0.0,1,1,1,1,1.0,0.0,0.9339,0.9856,1077,255.0,110.0,26.687,5.433,2.803
taurus,patch_18,presence_missed,1,0,0,,,1,1,0,0,4.12,8.49,0.6197,0.8128,509,255.0,247.0,8.896,0.899,2.966
taurus,patch_19,correct_absent,0,,0,,,0,0,0,0,,,0.6491,0.7966,,187.0,90.5,28.911,3.338,2.334
taurus,patch_20,location_selection_error,1,0,1,1,732.86,1,1,15,0,0.0,0.0,0.9094,0.9752,1236,247.0,81.0,11.861,13.996,2.688
taurus,patch_21,false_positive,0,,1,0,,0,0,1,1,,,0.8173,0.9259,,255.0,253.0,2.965,0.674,2.892
taurus,patch_22,location_selection_error,1,0,1,1,1913.38,8,3,2,1,1879.08,1913.38,0.8999,0.9695,435,251.0,59.5,14.085,13.596,2.767
taurus,patch_23,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.8828,0.9562,682,255.0,173.5,51.15,1.593,2.919
taurus,patch_24,false_positive,0,,1,1,,0,0,1,1,,,0.8946,0.952,,242.0,21.0,21.498,10.28,2.668
taurus,patch_25,membership_missed,1,1,1,0,1.41,1,1,1,1,2.24,1.41,0.9037,0.9744,835,255.0,130.0,19.274,6.485,2.858
taurus,patch_26,correct_absent,0,,0,,,0,0,0,0,,,0.3704,0.5974,,255.0,221.0,13.343,2.548,3.058
taurus,patch_27,correct_absent,0,,0,,,0,0,0,0,,,0.6552,0.8089,,230.0,13.0,14.826,14.636,2.288
taurus,patch_28,location_selection_error,1,1,1,0,934.11,4,15,3,1,687.37,934.11,0.9154,0.9755,1306,255.0,74.0,20.756,8.72,2.803
taurus,patch_29,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.7974,0.9294,314,255.0,209.0,42.995,1.07,2.968
taurus,patch_30,retrieval_missing,1,0,1,1,605.26,0,0,5,6,998.24,999.22,0.905,0.9568,1171,255.0,54.0,16.309,12.325,2.725
taurus,patch_31,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.7737,0.9309,615,255.0,244.5,15.567,0.674,3.133
taurus,patch_32,correct,1,1,1,1,2.0,1,1,1,1,2.0,0.0,0.9063,0.9744,821,255.0,216.0,22.239,1.754,2.985
taurus,patch_33,location_selection_error,1,0,1,1,832.38,1,1,7,7,0.0,0.0,0.796,0.9328,785,255.0,176.0,11.861,6.661,2.705
taurus,patch_34,correct_absent,0,,0,,,0,0,0,0,,,0.7126,0.8351,,167.0,36.0,19.274,6.797,2.43
