scene,patch,category,truth_present,truth_member,prediction_present,prediction_member,prediction_error_px,raw_first_correct_rank,filtered_first_correct_rank,raw_prediction_rank,filtered_prediction_rank,raw_top_error_px,filtered_top_error_px,raw_top_score,filtered_top_score,border_distance_px,patch_peak,local_background,local_noise,peak_over_noise,star_width_px
pisces,patch_14,correct_absent,0,,0,,,0,0,0,0,,,0.7656,0.8031,,182.0,84.5,17.05,5.719,2.421
pisces,patch_15,false_positive,0,,1,1,,0,0,13,0,,,0.8999,0.9234,,255.0,113.0,10.378,13.683,2.577
pisces,patch_16,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.931,0.9493,678,177.0,74.0,22.98,4.482,2.401
pisces,patch_17,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.9105,0.9347,396,212.0,141.0,35.582,1.995,3.3
pisces,patch_18,retrieval_missing,1,0,0,,,0,0,0,0,590.12,1310.97,0.6298,0.6723,811,153.0,109.0,14.826,2.968,2.748
pisces,patch_19,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.906,0.9404,676,116.0,1.0,1.483,77.566,2.481
pisces,patch_20,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.9658,0.9725,362,255.0,99.0,20.756,7.516,2.723
pisces,patch_21,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.9587,0.9753,365,249.0,131.0,14.826,7.959,2.641
pisces,patch_22,location_selection_error,1,0,1,0,1057.08,3,2,1,4,1057.08,924.71,0.891,0.8623,776,255.0,239.0,13.343,1.199,2.866
pisces,patch_23,correct_absent,0,,0,,,0,0,0,0,,,0.6759,0.797,,138.0,8.5,11.12,11.646,2.415
pisces,patch_24,correct_absent,0,,0,,,0,0,0,0,,,0.7274,0.7637,,255.0,252.0,4.448,0.674,2.873
pisces,patch_25,false_positive,0,,1,1,,0,0,10,0,,,0.9182,0.9597,,255.0,4.0,5.93,42.324,2.654
pisces,patch_26,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.8192,0.8331,371,127.0,86.0,11.861,3.457,2.772
pisces,patch_27,correct_absent,0,,0,,,0,0,0,0,,,0.7586,0.8308,,180.0,48.0,25.204,5.237,2.689
pisces,patch_28,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.8726,0.9024,425,74.0,41.0,17.791,1.855,2.951
pisces,patch_29,location_selection_error,1,1,1,1,1141.06,7,5,4,4,715.33,1525.59,0.8924,0.9804,1201,254.0,2.0,2.965,84.986,2.273
pisces,patch_30,false_positive,0,,1,1,,0,0,1,23,,,0.8875,0.9501,,255.0,9.0,8.896,27.654,2.746
pisces,patch_31,correct_absent,0,,0,,,0,0,0,0,,,0.7145,0.8186,,197.0,54.5,24.463,5.825,2.219
pisces,patch_32,correct,1,1,1,1,2.24,1,1,1,1,1.41,2.24,0.9484,0.9733,560,255.0,13.5,18.532,13.031,2.822
pisces,patch_33,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.41,0.959,0.9606,1087,255.0,147.0,14.826,7.285,2.801
pisces,patch_34,correct,1,1,1,1,1.0,1,1,1,1,1.0,1.0,0.9309,0.9511,664,255.0,155.0,14.826,6.745,2.718
pisces,patch_35,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.9778,0.9583,977,255.0,154.0,19.274,5.24,2.89
pisces,patch_36,correct_absent,0,,0,,,0,0,0,0,,,0.7209,0.8631,,193.0,11.0,10.378,17.537,2.325
pisces,patch_37,location_selection_error,1,1,1,0,727.12,5,1,1,6,727.12,1.41,0.9713,0.98,76,255.0,69.0,31.135,5.974,2.813
pisces,patch_38,correct_absent,0,,0,,,0,0,0,0,,,0.7951,0.9465,,224.0,10.0,5.93,36.085,2.047
pisces,patch_39,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.8795,0.9157,787,85.0,24.0,15.567,3.918,2.179
pisces,patch_40,false_positive,0,,1,1,,0,0,0,5,,,0.7769,0.9159,,255.0,11.0,16.309,14.961,2.54
pisces,patch_41,false_positive,0,,1,1,,0,0,3,15,,,0.9119,0.9317,,255.0,119.0,13.343,10.192,2.634
scorpius,patch_01,presence_missed,1,0,0,,,1,1,0,0,1.0,1.0,0.7467,0.8157,653,66.0,11.0,5.93,9.274,2.463
scorpius,patch_02,correct_absent,0,,0,,,0,0,0,0,,,0.7722,0.8909,,224.0,7.0,10.378,20.909,2.314
scorpius,patch_03,presence_missed,1,0,0,,,0,1,0,0,2867.02,1.0,0.5686,0.8724,101,70.0,20.0,13.343,3.747,2.869
scorpius,patch_04,correct_absent,0,,0,,,0,0,0,0,,,0.6875,0.7029,,255.0,253.0,2.965,0.674,3.086
scorpius,patch_05,correct_absent,0,,0,,,0,0,0,0,,,0.7706,0.8336,,217.0,57.0,19.274,8.301,2.334
scorpius,patch_06,correct_absent,0,,0,,,0,0,0,0,,,0.7069,0.7749,,207.0,173.0,14.826,2.293,2.675
scorpius,patch_07,false_positive,0,,1,1,,0,0,3,0,,,0.7346,0.7954,,255.0,194.0,48.926,1.247,2.765
scorpius,patch_08,location_selection_error,1,1,1,1,1299.97,1,8,15,19,3.0,864.97,0.9351,0.8946,395,255.0,213.0,19.274,2.179,2.947
scorpius,patch_09,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.9778,0.9628,827,255.0,116.0,55.597,2.5,2.887
scorpius,patch_10,presence_missed,1,0,0,,,0,1,0,0,841.02,1.0,0.6962,0.9455,173,207.0,155.0,26.687,1.949,2.702
scorpius,patch_11,correct_absent,0,,0,,,0,0,0,0,,,0.6278,0.6804,,183.0,80.0,19.274,5.344,2.496
scorpius,patch_12,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.9449,0.9748,141,210.0,170.0,37.065,1.079,3.129
scorpius,patch_13,correct_absent,0,,0,,,0,0,0,0,,,0.648,0.7622,,159.0,103.0,14.826,3.777,2.458
scorpius,patch_14,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.814,0.8329,1021,99.0,76.5,12.602,1.785,2.86
scorpius,patch_15,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.9713,0.9588,432,253.0,131.0,51.891,2.351,2.958
scorpius,patch_16,correct_absent,0,,0,,,0,0,0,0,,,0.7551,0.8223,,189.0,57.0,34.1,3.871,2.705
scorpius,patch_17,location_selection_error,1,1,1,1,1286.31,1,4,6,8,1.0,1468.44,0.9531,0.9401,992,255.0,200.0,17.791,3.091,2.987
scorpius,patch_18,correct,1,1,1,1,1.41,1,1,1,1,1.41,1.41,0.9658,0.9625,719,255.0,174.5,21.498,3.745,2.915
scorpius,patch_19,location_selection_error,1,1,1,1,494.07,1,5,4,19,1.41,1625.14,0.9285,0.9312,1474,255.0,189.0,14.826,4.452,2.892
scorpius,patch_20,correct,1,1,1,1,0.0,1,1,1,1,1.0,1.41,0.8987,0.8756,143,255.0,224.0,13.343,2.323,2.991
scorpius,patch_21,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.9132,0.9332,646,99.0,77.0,17.791,1.237,3.595
scorpius,patch_22,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.9342,0.9589,519,103.0,59.0,26.687,1.649,2.706
scorpius,patch_23,location_selection_error,1,1,1,1,261.22,1,1,2,8,2.0,2.0,0.9635,0.9592,953,255.0,163.0,17.791,5.171,2.86
scorpius,patch_24,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.9477,0.9324,230,255.0,185.5,38.548,1.803,2.932
scorpius,patch_25,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.9396,0.9563,514,208.0,122.5,18.532,4.614,2.573
scorpius,patch_26,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.8373,0.83,1080,87.0,14.0,8.896,8.206,2.683
scorpius,patch_27,location_selection_error,1,0,1,1,800.02,1,1,5,4,0.0,0.0,0.958,0.9557,951,255.0,129.0,47.443,2.656,2.91
scorpius,patch_28,correct_absent,0,,0,,,0,0,0,0,,,0.7418,0.7959,,100.0,10.0,10.378,8.672,2.697
scorpius,patch_29,correct_absent,0,,0,,,0,0,0,0,,,0.7885,0.893,,253.0,12.0,14.826,16.255,2.506
scorpius,patch_30,correct_absent,0,,0,,,0,0,0,0,,,0.752,0.7916,,255.0,254.0,1.483,0.674,2.948
scorpius,patch_31,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.9311,0.9585,551,189.0,121.0,40.03,1.699,2.818
scorpius,patch_32,correct,1,0,1,0,0.0,1,2,1,2,0.0,2168.55,0.9423,0.9436,745,78.0,5.0,7.413,9.848,2.764
scorpius,patch_33,correct_absent,0,,0,,,0,0,0,0,,,0.8549,0.9224,,200.0,7.0,10.378,18.597,2.289
scorpius,patch_34,correct_absent,0,,0,,,0,0,0,0,,,0.9026,0.9517,,171.0,3.0,2.965,56.657,1.798
scorpius,patch_35,correct,1,0,1,0,2.83,1,4,1,4,2.83,666.24,0.969,0.9509,670,255.0,145.0,53.374,2.061,2.865
scorpius,patch_36,location_selection_error,1,1,1,1,2012.3,2,4,9,0,1169.11,810.39,0.9666,0.9505,1004,255.0,184.0,14.826,4.789,2.964
scorpius,patch_37,correct_absent,0,,0,,,0,0,0,0,,,0.6829,0.7891,,197.0,129.0,25.204,2.698,2.571
scorpius,patch_38,correct,1,1,1,1,2.0,1,1,1,1,2.0,2.0,0.9435,0.959,584,255.0,210.0,32.617,1.38,2.912
scorpius,patch_39,correct,1,1,1,1,2.0,1,1,1,1,2.0,2.0,0.9772,0.9697,257,255.0,88.5,34.841,4.779,2.869
scorpius,patch_40,correct_absent,0,,0,,,0,0,0,0,,,0.6713,0.6842,,249.0,193.0,21.498,2.605,2.614
scorpius,patch_41,correct,1,1,1,1,1.0,1,2,1,2,1.0,2211.63,0.9609,0.9557,286,255.0,175.5,24.463,3.25,2.908
taurus,patch_01,correct_absent,0,,0,,,0,0,0,0,,,0.8898,0.9478,,197.0,13.0,10.378,17.729,2.488
taurus,patch_02,correct_absent,0,,0,,,0,0,0,0,,,0.5968,0.6333,,255.0,250.0,7.413,0.674,2.752
taurus,patch_03,correct_absent,0,,0,,,0,0,0,0,,,0.7827,0.8524,,234.0,179.5,37.806,1.442,2.693
taurus,patch_04,correct_absent,0,,0,,,0,0,0,0,,,0.8259,0.9034,,162.0,19.0,13.343,10.717,2.466
taurus,patch_05,correct,1,1,1,1,0.0,1,1,1,1,0.0,0.0,0.9716,0.9791,1335,239.0,92.0,19.274,7.627,2.667
taurus,patch_06,correct,1,1,1,1,0.0,1,1,1,1,0.0,0.0,0.9494,0.9566,938,255.0,180.5,22.98,3.242,2.799
taurus,patch_07,correct_absent,0,,0,,,0,0,0,0,,,0.8981,0.9443,,223.0,18.0,17.791,11.523,2.632
taurus,patch_08,location_selection_error,1,1,1,1,897.9,6,3,0,9,1561.13,46.86,0.9812,0.9734,662,255.0,95.0,19.274,8.301,2.819
taurus,patch_09,correct_absent,0,,0,,,0,0,0,0,,,0.8151,0.8852,,231.0,49.0,50.408,3.611,2.581
taurus,patch_10,correct_absent,0,,0,,,0,0,0,0,,,0.8393,0.8896,,255.0,122.0,23.722,5.607,2.506
taurus,patch_11,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.41,0.9619,0.9619,730,255.0,139.0,30.393,3.817,2.938
taurus,patch_12,location_selection_error,1,0,1,1,758.85,2,2,1,4,758.85,1094.73,0.9746,0.9392,882,255.0,218.0,34.1,1.085,2.975
taurus,patch_13,correct_absent,0,,0,,,0,0,0,0,,,0.6892,0.8069,,233.0,113.5,115.643,1.033,2.751
taurus,patch_14,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.9562,0.9586,745,255.0,170.0,43.737,1.943,2.921
taurus,patch_15,correct_absent,0,,0,,,0,0,0,0,,,0.7535,0.8014,,216.0,174.0,12.602,3.333,2.752
taurus,patch_16,correct_absent,0,,0,,,0,0,0,0,,,0.8597,0.8962,,178.0,69.0,11.861,9.19,2.554
taurus,patch_17,correct,1,0,1,0,0.0,1,1,1,1,0.0,0.0,0.9856,0.9749,1077,255.0,110.0,26.687,5.433,2.803
taurus,patch_18,presence_missed,1,0,0,,,1,0,0,0,8.49,1007.66,0.8128,0.7961,509,255.0,247.0,8.896,0.899,2.966
taurus,patch_19,correct_absent,0,,0,,,0,0,0,0,,,0.7966,0.8571,,187.0,90.5,28.911,3.338,2.334
taurus,patch_20,location_selection_error,1,0,1,1,732.86,1,1,0,0,0.0,0.0,0.9752,0.9846,1236,247.0,81.0,11.861,13.996,2.688
taurus,patch_21,false_positive,0,,1,0,,0,0,1,1,,,0.9259,0.8781,,255.0,253.0,2.965,0.674,2.892
taurus,patch_22,location_selection_error,1,0,1,1,1913.38,3,1,1,3,1913.38,1.41,0.9695,0.9743,435,251.0,59.5,14.085,13.596,2.767
taurus,patch_23,correct,1,0,1,0,1.41,1,1,1,1,1.41,1.0,0.9562,0.9472,682,255.0,173.5,51.15,1.593,2.919
taurus,patch_24,false_positive,0,,1,1,,0,0,1,5,,,0.952,0.9728,,242.0,21.0,21.498,10.28,2.668
taurus,patch_25,membership_missed,1,1,1,0,1.41,1,1,1,1,1.41,1.41,0.9744,0.9557,835,255.0,130.0,19.274,6.485,2.858
taurus,patch_26,correct_absent,0,,0,,,0,0,0,0,,,0.5974,0.6685,,255.0,221.0,13.343,2.548,3.058
taurus,patch_27,correct_absent,0,,0,,,0,0,0,0,,,0.8089,0.8751,,230.0,13.0,14.826,14.636,2.288
taurus,patch_28,location_selection_error,1,1,1,0,934.11,15,3,1,4,934.11,729.71,0.9755,0.9697,1306,255.0,74.0,20.756,8.72,2.803
taurus,patch_29,correct,1,0,1,0,0.0,1,1,1,1,0.0,1.0,0.9294,0.9225,314,255.0,209.0,42.995,1.07,2.968
taurus,patch_30,location_selection_error,1,0,1,1,605.26,0,1,6,12,999.22,1.41,0.9568,0.9855,1171,255.0,54.0,16.309,12.325,2.725
taurus,patch_31,correct,1,0,1,0,1.0,1,1,1,1,1.0,1.0,0.9309,0.95,615,255.0,244.5,15.567,0.674,3.133
taurus,patch_32,correct,1,1,1,1,2.0,1,1,1,1,0.0,0.0,0.9744,0.9527,821,255.0,216.0,22.239,1.754,2.985
taurus,patch_33,location_selection_error,1,0,1,1,832.38,1,1,7,7,0.0,0.0,0.9328,0.938,785,255.0,176.0,11.861,6.661,2.705
taurus,patch_34,correct_absent,0,,0,,,0,0,0,0,,,0.8351,0.8798,,167.0,36.0,19.274,6.797,2.43
